STID,TIME,PRES,TAIR,TMIN,TMAX,TDEW,RELH,WDIR,WSPD,WMAX,RAIN,SRAD
HOLL,2018-05-07T00:00,28.33,65,-999,-999,52,62,83,8,10,0,0
HOLL,2018-05-07T00:05,28.33,65,-999,-999,51,62,92,8,9,0,0
HOLL,2018-05-07T00:10,28.33,64,-999,-999,51,63,92,7,8,0,0
HOLL,2018-05-07T00:15,28.32,64,-999,-999,51,64,86,7,8,0,0
HOLL,2018-05-07T00:20,28.32,63,-999,-999,52,66,78,8,10,0,0
HOLL,2018-05-07T00:25,28.33,64,-999,-999,53,67,75,10,11,0,0
HOLL,2018-05-07T00:30,28.32,64,-999,-999,53,67,74,9,11,0,0
HOLL,2018-05-07T00:35,28.32,64,-999,-999,53,68,82,8,10,0,0
HOLL,2018-05-07T00:40,28.33,64,-999,-999,53,68,86,7,9,0,0
HOLL,2018-05-07T00:45,28.32,63,-999,-999,53,69,86,7,8,0,0
HOLL,2018-05-07T00:50,28.32,63,-999,-999,53,70,80,8,9,0,0
HOLL,2018-05-07T00:55,28.32,63,-999,-999,53,71,75,9,10,0,0
HOLL,2018-05-07T01:00,28.32,63,-999,-999,54,72,77,10,11,0,0
HOLL,2018-05-07T01:05,28.33,63,-999,-999,54,72,77,11,12,0,0
HOLL,2018-05-07T01:10,28.33,63,-999,-999,54,72,81,10,12,0,0
HOLL,2018-05-07T01:15,28.33,63,-999,-999,54,73,82,9,10,0,0
HOLL,2018-05-07T01:20,28.33,63,-999,-999,54,73,78,9,10,0,0
HOLL,2018-05-07T01:25,28.33,63,-999,-999,54,73,73,10,12,0,0
HOLL,2018-05-07T01:30,28.33,63,-999,-999,55,74,77,10,12,0,0
HOLL,2018-05-07T01:35,28.33,63,-999,-999,55,75,80,9,10,0,0
HOLL,2018-05-07T01:40,28.33,63,-999,-999,55,75,82,9,11,0,0
HOLL,2018-05-07T01:45,28.33,63,-999,-999,55,75,78,9,10,0,0
HOLL,2018-05-07T01:50,28.33,62,-999,-999,55,76,77,9,11,0,0
HOLL,2018-05-07T01:55,28.33,62,-999,-999,55,76,76,10,11,0,0
HOLL,2018-05-07T02:00,28.33,62,-999,-999,55,76,80,10,11,0,0
HOLL,2018-05-07T02:05,28.33,62,-999,-999,55,77,80,9,11,0,0
HOLL,2018-05-07T02:10,28.33,62,-999,-999,55,77,81,10,11,0,0
HOLL,2018-05-07T02:15,28.33,62,-999,-999,55,77,83,9,12,0,0
HOLL,2018-05-07T02:20,28.33,62,-999,-999,55,77,86,9,11,0,0
HOLL,2018-05-07T02:25,28.33,62,-999,-999,55,78,93,9,11,0,0
HOLL,2018-05-07T02:30,28.33,62,-999,-999,55,79,94,9,10,0,0
HOLL,2018-05-07T02:35,28.33,61,-999,-999,55,79,93,8,10,0,0
HOLL,2018-05-07T02:40,28.33,61,-999,-999,54,79,90,8,9,0,0
HOLL,2018-05-07T02:45,28.34,61,-999,-999,55,80,88,8,9,0,0
HOLL,2018-05-07T02:50,28.34,61,-999,-999,55,81,88,8,9,0,0
HOLL,2018-05-07T02:55,28.34,60,-999,-999,55,81,93,7,8,0,0
HOLL,2018-05-07T03:00,28.34,60,-999,-999,54,81,94,7,9,0,0
HOLL,2018-05-07T03:05,28.34,60,-999,-999,55,82,90,8,9,0,0
HOLL,2018-05-07T03:10,28.34,60,-999,-999,54,82,88,8,9,0,0
HOLL,2018-05-07T03:15,28.34,60,-999,-999,54,82,90,9,10,0,0
HOLL,2018-05-07T03:20,28.34,60,-999,-999,55,83,93,9,9,0,0
HOLL,2018-05-07T03:25,28.34,60,-999,-999,54,82,96,9,11,0,0
HOLL,2018-05-07T03:30,28.35,60,-999,-999,54,83,94,8,9,0,0
HOLL,2018-05-07T03:35,28.35,59,-999,-999,54,83,92,8,9,0,0
HOLL,2018-05-07T03:40,28.35,59,-999,-999,54,83,91,9,9,0,0
HOLL,2018-05-07T03:45,28.35,59,-999,-999,54,84,92,9,9,0,0
HOLL,2018-05-07T03:50,28.35,59,-999,-999,54,84,92,9,9,0,0
HOLL,2018-05-07T03:55,28.35,59,-999,-999,54,85,91,8,9,0,0
HOLL,2018-05-07T04:00,28.35,59,-999,-999,54,85,90,9,9,0,0
HOLL,2018-05-07T04:05,28.35,59,-999,-999,54,85,90,9,9,0,0
HOLL,2018-05-07T04:10,28.35,59,-999,-999,54,85,94,9,10,0,0
HOLL,2018-05-07T04:15,28.35,58,-999,-999,54,85,89,8,9,0,0
HOLL,2018-05-07T04:20,28.35,58,-999,-999,54,85,83,8,9,0,0
HOLL,2018-05-07T04:25,28.35,58,-999,-999,54,86,84,8,9,0,0
HOLL,2018-05-07T04:30,28.35,58,-999,-999,54,87,90,8,9,0,0
HOLL,2018-05-07T04:35,28.35,58,-999,-999,54,86,92,8,9,0,0
HOLL,2018-05-07T04:40,28.36,58,-999,-999,54,86,91,9,10,0,0
HOLL,2018-05-07T04:45,28.36,58,-999,-999,54,86,90,9,10,0,0
HOLL,2018-05-07T04:50,28.36,58,-999,-999,54,85,92,9,10,0,0
HOLL,2018-05-07T04:55,28.36,58,-999,-999,54,85,97,9,10,0,0
HOLL,2018-05-07T05:00,28.36,58,-999,-999,54,85,100,9,10,0,0
HOLL,2018-05-07T05:05,28.36,58,-999,-999,54,85,105,8,9,0,0
HOLL,2018-05-07T05:10,28.36,58,-999,-999,54,85,104,8,9,0,0
HOLL,2018-05-07T05:15,28.36,58,-999,-999,54,85,105,8,9,0,0
HOLL,2018-05-07T05:20,28.36,58,-999,-999,54,86,107,7,10,0,0
HOLL,2018-05-07T05:25,28.36,58,-999,-999,54,86,108,8,10,0,0
HOLL,2018-05-07T05:30,28.36,59,-999,-999,54,85,110,8,10,0,0
HOLL,2018-05-07T05:35,28.37,59,-999,-999,54,84,102,8,9,0,1
HOLL,2018-05-07T05:40,28.37,59,-999,-999,54,85,107,8,10,0,2
HOLL,2018-05-07T05:45,28.37,59,-999,-999,54,84,107,8,9,0,4
HOLL,2018-05-07T05:50,28.37,59,-999,-999,54,84,106,8,10,0,5
HOLL,2018-05-07T05:55,28.37,59,-999,-999,54,84,110,8,9,0,9
HOLL,2018-05-07T06:00,28.37,59,-999,-999,54,83,109,7,9,0,18
HOLL,2018-05-07T06:05,28.37,59,-999,-999,54,83,110,7,9,0,24
HOLL,2018-05-07T06:10,28.37,60,-999,-999,55,83,113,7,8,0,29
HOLL,2018-05-07T06:15,28.37,60,-999,-999,55,83,113,7,9,0,39
HOLL,2018-05-07T06:20,28.38,60,-999,-999,54,82,116,7,9,0,43
HOLL,2018-05-07T06:25,28.38,60,-999,-999,55,82,118,7,8,0,58
HOLL,2018-05-07T06:30,28.38,60,-999,-999,55,82,118,6,8,0,59
HOLL,2018-05-07T06:35,28.38,61,-999,-999,55,81,121,7,8,0,84
HOLL,2018-05-07T06:40,28.38,61,-999,-999,55,81,123,5,8,0,93
HOLL,2018-05-07T06:45,28.38,62,-999,-999,55,80,130,5,6,0,123
HOLL,2018-05-07T06:50,28.38,62,-999,-999,56,79,134,6,7,0,157
HOLL,2018-05-07T06:55,28.38,63,-999,-999,56,77,139,7,9,0,154
HOLL,2018-05-07T07:00,28.38,64,-999,-999,55,75,137,7,9,0,133
HOLL,2018-05-07T07:05,28.39,64,-999,-999,55,74,137,7,10,0,142
HOLL,2018-05-07T07:10,28.39,64,-999,-999,55,73,142,7,9,0,145
HOLL,2018-05-07T07:15,28.39,65,-999,-999,55,71,148,7,9,0,160
HOLL,2018-05-07T07:20,28.39,65,-999,-999,55,71,144,8,10,0,184
HOLL,2018-05-07T07:25,28.39,65,-999,-999,55,70,144,7,9,0,186
HOLL,2018-05-07T07:30,28.39,66,-999,-999,55,69,144,8,9,0,185
HOLL,2018-05-07T07:35,28.39,66,-999,-999,55,69,144,8,10,0,168
HOLL,2018-05-07T07:40,28.39,66,-999,-999,55,68,146,8,10,0,221
HOLL,2018-05-07T07:45,28.39,67,-999,-999,55,66,148,9,11,0,257
HOLL,2018-05-07T07:50,28.39,68,-999,-999,55,64,154,8,10,0,310
HOLL,2018-05-07T07:55,28.39,69,-999,-999,55,61,160,9,12,0,393
HOLL,2018-05-07T08:00,28.39,69,-999,-999,55,60,157,11,13,0,395
HOLL,2018-05-07T08:05,28.38,70,-999,-999,55,58,167,13,15,0,399
HOLL,2018-05-07T08:10,28.39,71,-999,-999,54,56,168,13,16,0,449
